Rk;G;Date;Age;Tm;Home_Away;Opp;Win_Loss;GS;MP;FG;FGA;FGpct;3P;3PA;3Ppct;FT;FTA;FTpct;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;plus_moins
46;46;06/02/2002;23-167;LAL;;CHI;L (-8);1;41:00:00;14;26;.538;1;2;.500;9;10;.900;3;5;8;1;1;2;8;2;38;22.9;3
47;47;12/02/2002;23-173;LAL;;WAS;W (+9);1;43:00:00;9;20;.450;0;1;.000;5;9;.556;1;10;11;15;1;1;2;3;23;23.7;9
48;48;14/02/2002;23-175;LAL;@;SEA;W (+5);1;42:00:00;8;21;.381;0;0;;7;10;.700;4;3;7;10;2;1;1;2;23;21.9;-11
49;49;15/02/2002;23-176;LAL;;ATL;L (-3);1;42:00:00;7;13;.538;0;1;.000;7;11;.636;1;1;2;10;2;1;6;2;21;17.0;-2
50;50;17/02/2002;23-178;LAL;@;POR;L (-6);1;43:00:00;11;26;.423;0;4;.000;6;6;1.000;2;3;5;2;1;1;3;5;28;14.6;-4
51;51;19/02/2002;23-180;LAL;;BOS;L (-1);1;41:00:00;11;25;.440;1;2;.500;4;5;.800;2;2;4;9;1;0;2;5;27;18.8;7
52;52;21/02/2002;23-182;LAL;@;CLE;W (+7);1;40:00:00;13;24;.542;0;1;.000;6;11;.545;1;5;6;6;2;0;2;3;32;23.6;-1
53;53;22/02/2002;23-183;LAL;@;CHH;W (+2);1;44:00:00;8;19;.421;0;3;.000;5;6;.833;4;5;9;6;3;1;5;3;21;16.5;18
54;54;24/02/2002;23-185;LAL;@;NYK;W (+16);1;42:00:00;10;18;.556;1;1;1.000;6;6;1.000;2;4;6;5;3;0;3;3;27;23.3;11
55;55;26/02/2002;23-187;LAL;@;MIL;W (+10);1;39:00:00;13;25;.520;0;2;.000;1;1;1.000;2;2;4;6;1;0;2;2;27;19.1;-7
